4,11,-9,-1,-14,-18,8,-7,3,17,-2,13,-12,5,-16,15,-10,6
-12,13,-18,-15,-11,10,-17,16,14,-6,5,1,-2,-9,4,-8,7,3
-13,18,-5,10,3,8,-14,-6,17,-4,12,-11,1,7,16,-15,-9,-2
-17,-3,2,9,-12,7,-6,-15,-4,16,-14,5,18,11,8,-10,1,-13
10,6,-8,-14,-18,-2,17,3,13,-1,15,-16,-9,4,-11,12,-7,5
8,5,12,-13,-2,11,18,-1,15,-16,-6,-3,4,-17,-9,10,14,-7
-3,-9,1,-5,4,-7,6,15,2,13,16,17,-10,-18,-8,-11,-12,14
-5,-13,-6,11,1,3,-18,-17,-15,-14,-4,16,2,10,9,-12,8,7
-4,12,-17,1,15,-13,14,9,-8,11,-10,-2,6,-7,-5,18,3,-16
15,-14,10,17,-8,16,-13,5,12,-3,18,-9,7,2,-1,-6,-4,-11
7,8,13,-16,9,12,-1,-2,-5,14,17,-6,-3,-10,-18,4,-11,15
13,-18,6,-12,-17,-3,16,10,-11,-8,9,4,-1,-15,14,-7,5,2
-6,-8,-14,18,-9,1,11,2,5,-15,-7,-13,12,3,10,-17,16,-4
14,-11,-16,5,-4,-10,13,17,18,6,2,15,-7,-1,-12,3,-8,-9
-2,1,-12,-10,8,-11,-15,-5,-16,4,6,3,-14,13,7,9,-18,17
-18,15,11,13,14,-8,-16,6,10,-9,-3,-17,-4,-5,-2,7,12,1
16,-4,-10,2,12,18,9,-13,-7,3,14,-5,8,-11,17,-1,-15,-6
6,3,-2,8,-7,-1,5,-4,11,-18,-9,-15,16,17,12,-13,-14,10
-15,9,7,-18,-6,5,-3,-12,-2,-11,10,8,-17,-16,1,14,13,4
-9,7,17,-8,16,15,-2,4,1,18,-13,-14,11,12,-6,-5,-3,-10
11,-17,9,7,18,-16,-4,13,-3,12,-1,-10,-8,15,-14,6,2,-5
-16,10,-7,15,6,-5,3,14,-13,-2,-12,11,9,-8,-4,1,18,-17
17,-7,8,-9,-10,-15,2,-3,4,5,13,-18,-11,16,6,-14,-1,12
5,-10,18,-17,-1,14,-12,-11,16,2,8,7,15,-6,-13,-9,4,-3
-10,14,16,-11,17,13,-8,7,-12,1,4,9,-6,-2,18,-3,-5,-15
-14,-5,-13,6,2,-4,15,-9,8,-12,-18,10,3,1,-7,17,-16,11
-7,4,-15,-2,-13,9,1,12,-6,-17,-16,-8,5,18,3,11,10,-14
9,-12,-11,16,7,-14,-5,-10,-1,8,3,2,-18,6,-17,-4,15,13
-8,-16,15,14,13,-9,-10,1,6,7,-17,18,-5,-4,-3,2,11,-12
3,-15,-1,12,-16,17,-11,-18,-14,-13,7,-4,10,9,2,5,-6,8
-11,17,5,-6,-3,4,12,-14,-10,9,1,-7,-15,8,13,-18,-2,16
18,-6,4,-3,10,2,-9,-16,7,-5,-15,14,17,-12,11,8,-13,-1
2,-1,14,-7,11,-12,4,18,-17,15,-5,6,-16,-3,-10,13,9,-8
12,16,-4,3,-15,-17,10,11,-18,-7,-8,-1,14,-13,5,-2,6,9
