-25,-49,-26,-17,42,-21,-11,-32,16,41,7,43,18,-46,-22,-9,4,-13,33,-48,6,15,-53,-28,1,3,47,24,40,-45,39,8,-19,-44,37,-38,-35,36,-31,-29,-10,-5,-12,34,30,14,-27,20,2,51,-50,-54,23,52
11,-6,-24,39,-43,2,-38,-10,25,8,-1,30,-49,40,42,34,27,-29,-23,-51,-33,48,19,3,-9,54,-17,-45,18,-12,53,37,21,-16,46,50,-32,7,-4,-14,44,-15,5,-41,28,-35,52,-22,13,-36,20,-47,-31,-26
4,-53,54,-1,34,-44,48,25,-20,-52,30,-47,-31,-39,37,-43,-36,45,-51,9,32,-23,22,-27,-8,42,24,46,49,-11,13,-21,40,-5,41,17,-15,50,14,-33,-35,-26,16,6,-18,-28,12,-7,-29,-38,19,10,2,-3
-50,14,16,8,-9,-37,-20,-4,5,28,-41,17,-19,-2,-32,-3,-12,-42,13,7,-30,27,24,-23,31,-39,-22,-10,-34,21,-25,15,-49,29,-40,-48,6,-46,26,35,11,18,47,-52,-54,38,-43,36,33,1,53,44,-51,45
2,-1,-48,-15,29,-32,39,16,-21,33,45,-28,40,-35,4,-8,-19,22,17,-47,9,-18,-42,-50,-34,-46,36,12,-5,41,51,6,-10,25,14,-27,-54,-52,-7,-13,-30,23,-44,43,-11,26,20,3,-53,24,-31,38,49,37
22,8,9,49,32,54,21,-2,-3,-44,-27,-29,43,30,40,52,48,36,51,38,-7,-1,-39,26,-45,-24,11,-50,12,-14,-41,-5,-35,46,33,-18,53,-20,23,-15,31,47,-13,10,25,-34,-42,-17,-4,28,-19,-16,-37,-6
-20,-26,-52,16,14,29,19,-51,-54,-43,35,-33,-30,-5,-46,-4,42,41,-7,1,-47,31,37,32,34,2,-38,-40,-6,13,-22,-24,12,-25,-11,44,-23,27,53,28,-18,-17,10,-36,48,15,21,-45,50,-49,8,3,-39,9
-19,16,6,45,-37,-3,-50,-53,17,-28,54,31,-42,36,27,-2,-9,-21,1,-25,18,-46,39,40,20,-29,-15,10,26,43,-12,33,-32,-35,34,-14,5,44,-23,-24,-51,13,-30,-38,-4,22,-52,-49,48,7,41,47,8,-11
-38,-18,-29,-26,-16,24,33,54,-14,46,-30,-23,25,9,-41,5,32,2,52,-28,47,-42,12,-6,-13,4,40,20,3,11,35,-17,-7,-49,-31,-50,-45,1,-51,-27,15,22,-48,53,37,-10,-21,43,34,36,39,-19,-44,-8
41,-31,-42,-34,50,46,-48,19,-43,-17,-54,14,-32,-12,52,27,10,21,-8,23,-18,-26,-20,38,-29,22,-16,37,25,-47,2,13,39,4,51,-53,-28,-24,-33,49,-1,3,9,45,-44,-6,30,7,-40,-5,-35,-15,36,11
54,45,32,-25,29,53,43,-35,-26,-41,18,-22,47,20,48,50,-40,-11,24,-14,-39,12,44,-19,4,9,-31,-30,-5,28,27,-3,38,49,8,52,51,-33,21,17,10,-46,-7,-23,-2,42,-13,-15,-34,-16,-37,-36,-6,-1
-27,20,-12,6,49,-4,-9,44,7,31,46,3,-50,19,38,-22,-37,-32,-14,-2,-43,16,-30,39,35,53,1,47,34,23,-10,18,-51,-29,-25,-45,17,-15,-24,-48,-52,54,21,-8,36,-11,-28,40,-5,13,33,41,-26,-42
28,-17,-10,50,-45,15,-22,39,33,3,-51,46,24,-25,-6,-49,2,-41,44,-52,29,7,-47,-13,14,-54,34,-1,-21,-43,32,-31,-9,-27,-36,35,-38,37,-8,42,18,-40,30,-19,5,-12,23,53,16,-4,11,20,-48,26
46,23,34,-8,-18,-49,25,4,-52,19,15,24,-43,-47,-11,28,22,5,-10,48,31,-17,-2,-12,-7,27,-26,-16,37,50,-21,36,42,-3,44,-32,-29,-41,45,-54,38,-33,13,-35,-39,-1,14,-20,6,-30,-53,9,51,40
45,-40,-39,-18,-46,43,-28,-25,22,-34,-48,-37,53,52,-24,-44,-54,4,20,-19,-41,-9,42,15,8,50,51,7,-32,31,-30,29,49,10,-38,-47,12,35,3,2,21,-23,-6,16,-1,5,36,11,-33,-26,-27,-14,-13,17
-16,32,-31,-42,40,8,-36,-6,-44,12,-49,-10,-21,41,28,1,-34,54,26,-24,13,51,-37,20,-52,-19,-43,-15,38,-35,3,-2,47,17,30,7,23,-29,-48,-5,-14,4,27,9,53,-50,-33,39,11,46,-22,25,-45,-18
5,18,24,38,-1,7,-6,26,-32,-49,-53,29,50,22,39,45,28,-2,-44,-33,46,-14,48,-3,-27,-8,25,-17,-12,34,-40,-9,-20,-30,-47,37,-36,-4,-15,31,52,51,-54,19,16,-21,35,-23,10,-13,42,-41,11,43
-54,-41,-23,-5,4,-38,52,33,35,29,36,-26,-37,-42,-17,44,15,-19,18,46,-49,28,3,-32,53,12,-39,-22,-10,-48,45,24,-8,-40,-9,-11,13,6,27,34,2,14,51,-16,-31,-20,-50,30,21,47,-43,-7,-25,1
51,34,-53,31,-35,-23,-43,-28,-39,-11,10,25,-20,26,-18,-17,16,15,-40,13,54,-52,6,49,-12,-14,48,8,-50,-46,-4,-37,41,-2,5,45,32,47,9,19,-33,-44,7,42,-36,30,-38,-27,-24,29,-1,22,3,-21
-15,-25,46,23,24,-26,42,22,36,48,-21,-32,-16,-49,1,13,-20,37,-29,17,11,-8,-4,-5,2,6,-53,50,19,40,38,12,-54,-47,-52,-9,-18,-31,51,-30,-44,-7,45,41,-43,-3,34,-10,14,-28,-39,35,27,33
-12,-36,20,-40,11,19,-47,-13,-31,43,-5,1,8,44,22,38,30,-49,-6,-3,33,-15,25,54,-23,-51,-46,53,32,-17,9,-29,-21,37,42,2,-34,-16,-50,4,-45,-35,-10,-14,41,27,7,52,18,39,26,-48,-28,-24
-23,43,21,-32,-50,44,-42,47,-17,11,-10,48,46,15,-14,-39,9,-35,25,49,-3,26,1,-38,-19,-22,29,-34,-27,33,-45,4,-30,28,18,-37,36,24,16,-52,51,7,-2,-6,31,-13,-8,-12,-20,5,-41,40,-54,53
27,-23,-25,28,47,12,30,-26,18,-38,17,-6,34,-29,-33,-35,-11,-9,54,-42,52,49,2,41,3,8,-1,-4,14,-7,43,39,15,-13,16,-51,-44,10,-32,53,-24,20,-31,37,-46,45,-5,50,-22,-48,36,-21,-40,-19
-53,-39,-20,-31,36,-54,-10,14,19,7,28,-49,-47,-8,-42,-18,-30,16,-9,3,-22,21,-46,-26,-41,24,-50,-11,35,17,4,-44,37,40,-29,-5,-33,-52,2,-34,25,15,48,32,51,23,13,-43,12,27,-45,38,1,6
-36,54,-35,19,51,-40,47,-52,14,17,-23,53,20,-9,49,37,-10,-48,-4,-13,-26,-30,11,50,-33,21,45,44,-38,22,-46,34,25,-32,3,1,-16,29,-43,6,42,-41,39,-28,-27,31,-7,18,-15,-24,-5,8,-12,-2
43,31,48,-38,-54,-18,10,9,-8,-7,41,33,52,23,25,35,34,6,27,32,49,-47,-14,-51,-15,-42,-19,45,-39,-36,-2,-20,-12,-17,-16,30,50,4,29,44,-11,26,-1,-40,-28,-53,22,-3,-21,-37,24,-13,46,5
19,22,-5,32,3,51,-40,-14,-15,21,-46,39,16,8,9,-13,37,-23,-1,-27,-10,-2,18,48,38,-34,20,-44,41,47,36,-4,45,26,-50,-31,-17,-25,-12,7,-29,-53,-49,28,-33,11,-30,-24,43,35,-6,54,42,-52
29,-50,-51,-10,-26,-19,11,42,-16,4,-7,-27,-33,38,-52,9,-46,-45,6,43,48,34,30,47,-32,5,12,-39,-1,-23,-53,25,13,-22,40,-54,44,-14,28,-35,49,-8,-20,-37,18,17,-24,-21,-41,2,3,15,31,36
-8,-22,18,26,-11,53,-49,1,41,-12,5,10,37,-28,-30,54,25,-3,-33,34,27,2,40,-29,-17,-4,-21,14,24,15,-44,-48,19,-20,45,42,-13,51,-46,-23,-9,-36,52,31,-35,39,50,32,7,-47,-38,-43,-6,-16
53,41,25,21,-15,17,23,-12,26,42,-35,8,36,45,5,46,-6,52,30,-43,-4,-24,-7,22,-3,-9,-40,29,-28,-19,-38,-49,-50,-39,11,-13,48,31,34,27,-2,-10,20,-47,-14,-16,44,-37,32,33,-54,-18,-1,51
10,36,-7,15,54,30,3,-50,47,-1,-40,-31,-18,43,-4,-41,23,13,-32,27,-29,-33,-17,-25,24,37,-20,-46,21,-6,12,19,22,51,-45,-2,-26,-39,38,11,16,52,-14,49,35,28,-9,-53,-44,8,-34,-42,48,-5
-26,4,38,-2,9,-25,-52,37,-5,-51,20,41,-48,-17,21,-45,14,-27,28,-11,-15,47,32,-43,6,1,18,-19,50,-42,49,-23,46,-53,-44,-40,-8,-3,-54,36,-12,30,24,35,16,-33,-22,13,-31,-29,10,7,34,39
-43,-30,-28,47,37,48,31,-49,53,-54,-32,44,-45,35,-41,26,33,-39,-50,-22,25,20,-34,-46,-21,-16,42,3,-52,2,-7,11,-17,23,-14,51,-5,40,18,-38,15,-27,1,-12,13,24,-4,-6,8,19,-36,29,-9,10
25,-44,12,-20,-24,-7,6,-47,-35,53,33,-3,28,-26,18,-29,-43,-15,41,4,-51,-31,46,5,-1,14,-30,-13,16,27,22,-38,-11,48,9,-52,54,32,-40,39,-19,49,17,2,-50,-23,8,-34,-42,45,21,36,-10,-37
-39,15,50,11,-53,34,49,-24,-30,-47,-4,20,32,46,-2,51,-45,35,-31,-12,37,-40,52,8,43,-27,26,38,36,9,19,-13,54,-6,-18,-29,-21,-28,1,22,-42,41,-25,-48,17,-14,10,44,-7,-3,-16,-23,5,-33
24,49,-36,-33,41,-45,-32,11,44,-21,-8,47,35,-31,19,-52,38,27,-15,-34,10,46,29,-1,-40,-53,-18,39,-23,-54,14,7,4,20,-13,3,-42,-17,-28,25,-5,37,50,-9,6,-22,-12,51,-2,-43,-48,16,26,30
9,-37,30,7,-52,-43,-4,15,-1,23,50,-44,-39,17,-8,33,-14,34,-48,35,-28,54,-10,29,-46,-47,-32,21,-24,-3,-51,27,-16,-18,-20,-41,2,45,13,-53,36,-49,6,12,-38,25,26,19,42,-11,31,5,40,-22
49,47,-40,-6,21,4,22,-33,13,54,-19,18,-9,-37,29,20,53,-12,11,-16,-5,-7,-35,-36,44,51,-43,-31,-15,-50,28,48,8,-42,23,24,14,46,41,3,-39,34,27,-25,52,-38,-2,-32,-1,30,-26,-45,-17,-10
-24,-8,28,-14,15,-31,18,2,-41,-33,-13,-35,11,4,-5,32,-51,-7,39,-29,-44,-45,-27,1,47,-48,23,-3,20,37,6,-16,10,-50,12,46,-30,53,-19,43,9,-52,-40,21,22,-36,-25,26,-54,34,17,42,-38,49
-34,52,-54,48,-22,32,-19,-45,12,35,29,-9,-46,-23,-50,-53,18,-17,7,36,28,5,14,43,-37,41,44,-21,-11,-49,-39,-6,-42,1,-10,-20,25,-47,31,-51,-26,33,-24,-27,8,13,38,-4,30,15,40,-2,16,3
-3,-5,1,51,2,-36,53,21,23,45,26,-38,-34,54,-27,42,-31,29,-35,-37,-8,-49,-9,-30,40,-11,15,41,-18,24,17,-33,32,13,19,6,20,12,44,-25,-28,-16,-47,-39,-10,-48,43,46,22,-52,-4,50,-7,-14
40,10,8,-22,26,25,-31,-3,-34,-2,-12,11,-44,49,45,39,-18,17,-37,-53,-52,4,-29,36,-6,-5,-28,27,23,38,7,50,-43,9,48,-24,19,-30,-16,-1,-54,-47,33,13,-15,-51,42,-35,-14,-32,46,21,20,41
37,35,-41,-48,-14,-29,-17,18,-12,49,27,9,23,5,-40,-26,7,-8,34,33,44,25,-13,52,-22,16,-11,43,6,-39,47,38,-20,-19,-2,54,-1,-32,30,15,3,-50,-28,-21,-51,53,-31,4,-10,42,45,-24,-46,-36
-11,-21,51,41,-23,31,28,30,-33,50,1,-15,44,-53,12,-27,-35,20,-38,-18,2,43,5,-48,-49,-45,16,-7,-42,-8,-6,40,9,-52,17,-46,39,19,-37,-32,-4,29,-22,-13,26,36,54,24,25,-10,-3,34,14,-47
17,53,40,14,-47,49,-33,-11,45,-42,8,28,-26,-4,30,19,-1,-36,-16,50,22,-21,-25,37,23,13,-54,-12,46,-15,-35,-39,7,38,31,18,-24,-34,32,-3,43,10,-41,48,-9,-29,5,-44,-6,-20,52,-51,-2,27
33,-34,-6,-30,44,3,35,19,-27,37,-25,-24,-38,-45,54,-20,49,50,8,16,-31,39,-36,-12,11,52,9,48,51,4,21,42,-1,2,-7,23,-10,13,-22,41,-40,-32,53,-5,14,47,-46,-28,-17,-18,-29,-26,-43,-15
-2,1,19,18,-51,-22,41,17,-29,40,48,-34,31,27,-43,-23,-8,-4,-3,-49,35,6,16,33,32,-28,-14,26,9,36,-13,-25,-24,12,-21,-30,42,39,-38,-10,-7,-37,15,-53,-47,-52,45,-11,20,54,5,46,44,-50
8,-45,-44,37,6,-5,-27,-1,40,-23,38,-48,21,-51,-31,25,26,47,50,39,-13,-53,10,-52,-16,-17,7,32,-30,29,15,-28,34,-33,-54,-49,-4,-11,-20,-9,-46,43,-42,3,2,41,-18,12,36,-19,14,24,22,35
42,40,-38,54,48,26,-39,43,-47,14,-17,15,-36,-10,-12,-50,11,30,-45,52,53,-41,34,-33,29,-6,46,-35,-25,-18,-37,49,24,-23,28,13,31,3,7,-2,22,-1,-8,51,19,-27,9,-5,-32,16,-44,-20,-21,-4
-37,-35,23,-41,-21,-28,54,-44,-25,-26,24,-40,27,33,47,53,-29,-31,-34,-32,5,45,-3,-11,9,10,-13,6,17,48,18,20,-14,19,2,-39,1,-42,36,12,4,38,-51,8,-22,-49,-15,-30,46,52,43,-50,-16,-7
21,-47,36,17,-19,10,27,-18,37,-6,-39,51,-29,-52,20,-32,-4,8,5,-15,-1,35,45,42,-53,-41,-7,-49,13,44,48,16,-46,50,-22,-3,-9,-54,11,-43,26,-24,40,-30,-23,33,2,-31,28,-34,-12,14,25,38
14,23,-15,-53,-42,-16,9,46,-7,-35,32,-45,54,-1,3,6,29,-38,49,44,39,-51,-2,-40,-28,-43,50,25,-17,-34,-36,-11,52,30,10,31,47,18,-21,24,-48,5,26,-20,12,-8,-37,41,-19,-27,22,-33,4,-13
-10,42,31,27,43,13,-44,23,-37,1,14,-25,-6,-11,-38,29,-33,-24,-26,45,-40,41,-8,18,12,19,-4,-53,-16,-32,-3,30,17,-36,-48,34,9,15,-47,21,-22,-2,-5,7,-20,-54,39,35,-50,49,-52,51,28,46
-9,-20,-32,43,31,-24,-54,48,1,-45,-29,-39,-14,13,26,23,-44,28,-46,2,-38,-27,-16,6,41,-15,22,-18,11,42,-5,3,-36,52,50,33,-40,21,12,37,-25,-30,-4,17,10,19,-51,-8,53,-35,47,-34,-49,7
36,24,45,-13,14,-17,8,-7,-50,-37,51,42,4,-5,-28,-19,6,-33,16,-23,-46,-43,20,-2,-39,34,-41,15,53,-52,40,-35,18,-26,32,-1,10,-44,25,-31,27,-12,22,38,-3,21,-54,49,-48,9,-11,30,-29,47
44,8,11,36,-20,39,-18,-2,-42,30,-3,-41,28,-16,31,14,50,7,-24,5,34,-38,26,19,49,-23,-48,-13,-47,-10,-15,46,53,-21,-51,-4,52,22,-6,-45,12,9,54,-1,40,-32,29,27,-25,-17,35,-37,-33,-43
-49,-28,-8,-19,-41,50,37,3,-36,-24,43,-54,-35,21,-48,30,-53,39,4,31,-14,23,-22,10,45,33,38,2,42,-16,-20,-47,-26,-46,13,9,-7,-27,-18,51,5,-29,-11,52,-25,34,32,15,1,-6,-40,-44,17,12
18,25,-46,-23,-7,-34,5,36,24,-19,-44,26,51,48,-53,47,-21,-1,10,-40,17,-50,4,-9,-2,-12,41,-29,28,-31,30,52,-38,6,-37,-8,35,33,-45,20,-27,-54,49,11,39,3,-16,-14,-43,22,-13,-32,15,42
-4,-27,22,1,53,41,-25,50,15,-39,13,38,-11,-36,-9,-21,-24,23,47,-37,16,-3,-18,17,7,43,2,-52,-51,45,-33,-42,31,44,-49,14,20,-12,10,54,-6,32,-26,-34,-30,48,-19,-46,35,-8,29,28,-5,-40
