28,16,-15,31,36,13,-34,48,-35,30,20,-29,-6,22,3,-2,-44,26,-46,-11,-24,-14,-51,21,53,-18,-40,-1,12,-10,-4,39,-37,7,9,-5,33,-41,-32,27,38,-47,-54,17,-49,19,42,-8,45,52,23,-50,-25,43
-22,-30,33,-15,37,52,46,-12,27,-32,40,8,20,-24,4,18,50,-16,39,-13,54,1,-36,14,26,-25,-9,49,-38,2,42,10,-3,-35,34,23,-5,29,-19,-11,47,-31,-51,-45,44,-7,-41,53,-28,-17,43,-6,-48,-21
-23,7,15,-39,-49,-45,-2,54,25,-19,51,-34,-18,-42,-3,-53,20,13,10,-17,-44,35,1,28,-9,-50,41,-24,46,32,-37,-30,38,12,-22,47,31,-33,4,-43,-27,14,40,21,6,-29,-36,52,5,26,-11,-48,16,-8
-13,-48,-31,19,-12,-32,-41,-43,-36,22,-26,5,1,-53,-33,-44,-47,28,-4,37,-27,-10,-40,-30,-45,11,21,-18,-50,24,3,6,15,52,49,9,-20,51,-42,23,7,39,8,16,25,-54,17,2,-35,29,-38,-34,14,46
20,18,-52,-23,32,-14,-33,50,-43,38,-28,-19,40,6,30,-25,48,-2,12,-1,36,34,4,41,16,-46,-54,11,45,-15,53,-5,7,-22,47,-21,49,-10,44,-13,-24,-51,9,-39,-29,26,-35,-17,-37,-8,42,3,-31,27
50,-37,53,41,-13,26,38,10,-23,-8,-32,15,5,27,-12,19,-28,54,-16,34,22,-21,9,40,-52,-6,-14,17,-49,44,-48,11,-51,-20,-42,43,2,-7,-46,-24,-4,35,-36,-30,47,39,-45,31,29,-1,33,25,-3,-18
-30,26,48,-27,39,49,50,13,38,11,-10,20,-8,45,-31,40,33,-35,-53,-12,34,-28,43,-54,-46,-2,4,22,41,1,15,51,-17,-21,18,-37,36,-9,-5,-16,-29,-44,-23,42,-14,25,52,-3,-6,-7,-32,-47,19,24
-43,-23,-35,42,-17,-26,13,16,-15,-33,44,45,-7,-18,9,-8,5,14,29,36,-25,30,2,-40,21,6,-52,-50,-19,-22,47,37,10,49,3,-20,-32,53,51,24,54,-4,1,-11,-12,-48,-31,46,-34,28,-39,27,-38,-41
44,11,-20,38,-53,40,-15,-49,12,-21,-2,-9,-47,-33,7,-19,-31,-37,16,3,10,23,-22,-29,-42,48,-36,-43,24,39,17,-34,14,32,45,27,18,-4,-30,-6,51,25,28,-1,-35,50,13,-26,8,-46,-41,54,5,-52
-48,-19,30,-50,-39,51,-8,7,-14,-54,-29,38,18,9,-27,32,-42,-13,2,-45,-53,-26,46,33,-36,22,15,40,11,-3,-41,-16,-24,-44,-47,25,52,-12,5,-28,31,17,-49,34,20,-23,35,1,43,4,-6,-37,21,10
-33,3,-2,-35,34,21,-23,27,29,37,-24,36,31,-45,28,-39,38,43,-42,-25,-6,-54,7,11,20,-30,-8,-15,9,26,-13,53,1,-5,4,-12,-10,-17,-16,52,-46,19,-18,-49,14,41,-48,47,44,-51,50,-40,-32,22
49,-17,34,-11,-15,-28,18,-24,36,33,4,-53,-52,47,5,51,2,-7,41,22,40,-20,44,8,-50,39,46,6,-45,-43,-32,31,-10,-3,42,-9,-38,37,-26,-21,-19,-35,30,-23,29,-27,-14,54,-1,25,-16,13,12,-48
-8,32,23,37,44,-54,-43,1,-26,-40,21,17,29,-41,-30,46,-12,-34,48,-42,-11,25,-3,-47,-22,9,-38,-49,-13,15,39,-2,35,18,-33,45,-4,27,-31,10,14,20,7,-5,-36,-16,24,-19,28,-52,53,50,-51,6
-25,-12,-30,-9,-14,-48,8,-7,4,-22,13,2,-11,5,-54,-34,45,-42,20,-19,43,10,47,-51,1,-41,32,-33,31,3,-29,-27,28,16,-49,52,50,-53,46,-44,26,18,-21,40,-17,-39,-23,6,35,-37,24,-36,38,15
-14,-38,21,-22,-18,35,-45,-32,41,-23,-46,36,-31,1,27,42,43,5,-44,29,-3,4,10,-49,52,-47,-15,54,-20,-39,13,8,-40,-51,-6,-12,48,2,30,33,-9,-16,-17,19,7,11,26,-37,24,53,34,-25,-50,-28
51,46,-40,-24,25,30,52,49,-27,34,-54,-43,-14,13,17,22,-15,53,47,39,45,-16,32,4,-5,42,9,38,37,-6,50,-23,-44,-10,41,48,-29,-28,-20,3,-35,-26,12,33,-21,-2,-19,-36,-8,-31,-1,-7,-18,11
21,-26,6,51,15,-3,29,31,-46,28,18,-27,43,-34,-5,30,24,-11,37,-33,-1,-35,40,-17,42,2,12,-10,-7,-16,-8,-41,20,14,22,-38,-19,36,50,-23,32,-25,-13,-48,-54,9,-53,44,-52,-39,-4,49,47,45
11,-41,-33,10,16,32,34,-15,35,-4,-1,40,25,31,8,-5,21,19,-18,-53,-17,-50,-28,26,-13,-24,-30,23,38,27,-14,-6,3,-7,-9,-48,-44,-29,52,-12,2,47,49,37,-46,45,-42,36,-43,22,54,-39,20,-51
-29,-22,-28,-54,-32,-50,-47,-23,-45,49,-27,42,19,-16,-43,14,-38,30,-13,46,39,2,8,-35,-37,-31,11,3,1,-18,26,5,-34,33,24,51,25,17,-21,53,-48,-12,15,52,9,-20,7,41,-10,6,-36,-44,-40,4
48,27,-24,-32,18,33,-35,-41,-38,-17,46,51,-26,-52,-49,31,10,-5,-40,47,53,-29,45,3,-39,13,-2,54,22,42,-16,4,-6,50,7,44,-43,9,25,19,8,-30,37,-36,-23,-11,-20,-1,15,-34,-12,14,-21,-28
-34,35,-25,15,45,24,-13,43,53,54,-42,-31,7,-48,-4,-41,28,38,49,-32,-39,40,-44,-6,3,-52,-37,-17,-33,47,12,20,29,1,-2,50,27,-18,21,-22,16,11,-8,23,-5,51,-30,14,-19,-36,-46,26,-9,-10
54,19,22,-7,26,-44,4,30,-39,47,-51,25,36,33,21,43,-18,17,-2,40,-15,-3,48,37,-12,-5,38,-42,34,-8,-35,-46,-14,-29,31,-13,-24,-27,9,-20,-50,28,-16,6,52,32,-10,-23,-53,41,11,-45,49,-1
29,-32,17,-12,14,53,-49,-25,10,-9,34,4,-54,-5,-26,-50,-3,31,-30,-44,-28,-52,-35,-41,8,15,40,21,-1,19,-18,2,-36,-11,23,33,-46,-47,-51,-27,24,45,48,20,-42,37,38,-43,7,16,39,22,-6,13
-24,-45,-7,43,-8,27,3,5,46,-48,42,-14,-16,12,-22,13,-40,-21,35,32,18,15,-38,1,44,34,-6,39,51,-31,30,-20,-49,-26,-19,-50,-52,23,-28,17,-53,-11,-4,-25,2,-9,54,10,33,36,-29,37,41,-47
46,-47,-48,16,9,-38,-17,-13,-5,26,-12,11,8,-39,53,-4,7,-33,-37,45,-43,32,27,49,-40,-10,-23,35,-44,-54,-34,-22,18,31,-28,41,19,6,14,25,-36,-52,21,29,-20,-1,2,3,-24,-51,50,42,-15,30
-32,45,28,-25,11,-33,31,24,26,18,-5,44,-21,-23,-48,47,52,-10,-49,-39,13,54,14,-8,4,-9,53,-3,36,46,-7,1,6,40,51,-29,42,50,20,-34,-43,-37,41,-12,-2,-30,-16,15,19,-38,-35,-17,-27,-22
-53,-40,12,8,-52,43,28,-4,-13,-49,17,-3,9,26,-46,29,-11,35,-41,48,-30,-39,-34,-50,33,-14,-45,-7,-16,21,32,-31,-25,23,-18,-42,-51,-54,22,2,19,36,-6,-47,27,15,44,-20,10,24,37,5,1,38
37,8,6,5,-4,-3,-31,-2,42,32,20,35,-33,54,34,52,-29,41,-22,-11,-48,19,50,39,27,-36,-25,51,17,53,7,-10,13,-15,-12,26,-1,-49,-24,44,-18,-9,45,-40,-43,-47,46,21,38,-23,-28,-16,-30,-14
-39,5,-53,-17,-2,36,23,34,-18,-11,10,-33,-45,29,-37,-31,4,9,30,-50,51,52,-7,54,-35,41,43,48,-14,-19,16,-42,12,-8,25,-6,15,-46,1,-47,-26,32,-27,49,13,38,40,-28,-44,20,-21,-22,3,-24
53,15,-16,-8,20,34,49,4,-12,-36,-39,9,-42,-38,-2,3,31,-46,50,-5,33,47,29,35,48,43,-51,-40,-23,-44,-17,45,-21,-6,-24,10,54,14,11,28,-52,13,-26,30,-32,18,-22,-25,-7,-19,27,41,-1,-37
-40,-16,-45,44,-38,-23,25,28,-50,19,-34,-20,53,46,-18,2,-51,15,-10,12,-41,-36,6,-43,-7,-42,-39,-8,-54,52,-47,-35,49,11,32,22,-48,5,27,1,21,26,24,-4,3,-14,31,37,-33,9,17,-30,-13,29
8,-31,39,29,-41,10,-52,-1,22,-6,53,48,30,-40,47,-37,25,46,-38,35,42,-9,51,-34,-17,33,-49,-32,-4,-13,2,28,-26,24,-20,54,16,19,-3,14,5,-21,50,45,-44,-18,-15,-12,27,-43,-23,7,-11,-36
-15,44,-51,-31,-42,8,30,-6,19,48,-14,24,34,11,1,38,50,-53,-9,-37,49,39,-47,-12,40,35,33,43,52,-7,4,46,-27,-13,-26,-45,20,-16,-22,-25,-54,5,-28,-2,36,-32,23,-10,-21,-17,3,-29,18,41
31,14,-18,17,-19,-40,-16,20,-42,-21,-23,-26,-46,-2,-41,7,-4,3,5,-8,10,33,11,25,-24,12,47,-36,53,38,-1,52,-22,-49,-45,28,-39,-30,37,6,15,9,44,-43,35,13,-27,50,34,-48,-54,-32,-29,51
-35,-33,11,-36,42,19,20,-53,-48,12,-3,-10,-25,40,26,45,18,-17,-6,-7,-37,46,24,-23,13,-15,-34,39,-47,41,49,-54,2,27,1,4,21,51,-28,-14,-30,-5,-52,-50,-16,-22,29,9,-31,44,-38,43,8,32
41,28,16,46,-8,9,14,5,-6,17,54,47,49,-7,-50,-3,-10,39,25,-31,-38,-23,22,36,-19,-35,-43,-2,-42,-32,20,30,51,-53,26,-24,44,21,-18,45,-1,29,27,-37,-40,-4,-12,-52,-13,15,-33,48,34,-11
-4,-13,-21,1,12,-36,37,14,33,-31,29,-5,2,-8,52,-20,32,23,-43,16,3,41,-18,34,54,27,-26,-35,-11,-49,10,-17,-9,-24,28,6,-7,48,40,-39,-22,-46,19,50,53,42,-51,-38,30,-44,47,-15,-45,-25
6,-44,-29,45,-50,-1,-32,37,-10,9,30,-16,15,21,-13,12,-34,25,23,33,-14,46,-19,-48,-18,-54,-41,42,3,-11,-43,7,-20,17,-40,38,-8,-36,53,35,27,-28,31,2,-4,-22,-52,24,51,5,-49,47,-39,26
-37,-28,45,18,-27,17,44,-50,11,16,-9,13,-12,-26,-25,-10,-6,-4,22,51,31,-19,49,43,15,14,5,2,-46,33,-21,35,-30,48,-32,-54,1,-40,-47,38,-42,41,-24,-7,-3,29,39,-34,-23,8,-20,53,-52,36
-52,24,-22,-42,-33,48,-46,-29,-53,-43,-15,31,27,36,11,50,37,-54,-45,-38,41,3,-39,-2,-26,25,-13,34,8,-47,-12,-51,5,-28,44,-14,-17,20,23,49,-21,4,10,-35,19,7,30,-6,-40,-16,32,1,9,18
42,-53,-17,33,52,28,12,38,32,-16,-41,-7,-19,39,-23,10,3,-48,13,-30,-51,26,15,-46,35,-22,-44,-6,-34,20,54,-9,-4,29,-25,49,47,-8,-14,-50,11,-1,45,27,-43,24,-37,18,-36,40,21,-5,2,-31
7,-42,-50,53,22,-43,-1,-48,-30,-20,19,32,-17,-15,14,26,13,52,-11,10,47,-5,-37,28,-44,-16,51,24,35,9,40,-12,45,54,-29,46,23,39,-38,-31,-49,2,6,25,-33,-36,-21,-8,41,3,-27,-18,-4,-34
